Country,Level,SKU,quant,Yearmonth,Source,Update1
Austria,,SKU01,779,202304,VPD,
Austria,,SKU02,113,202304,VPD,
Austria,,SKU03,10546,202304,VPD,
Austria,,SKU04,2336,202304,VPD,
Austria,,SKU05,62510,202304,VPD,
Austria,,SKU06,35653,202304,VPD,
Austria,,SKU07,3253,202304,VPD,
Austria,,SKU08,31352,202304,VPD,
Austria,,SKU09,3323,202304,VPD,
Austria,,SKU010,36201,202304,VPD,
Austria,,SKU011,1267,202304,VPD,
Austria,,SKU012,226,202304,VPD,
Austria,,SKU013,8230,202304,VPD,
Austria,,SKU014,685,202304,VPD,
Austria,,SKU015,214,202304,VPD,
Austria,,SKU016,18888,202304,VPD,
Austria,,SKU017,60,202304,VPD,
Austria,,SKU018,8600,202304,VPD,
Austria,,SKU019,9822,202304,VPD,
Austria,,SKU020,111,202304,VPD,
Austria,,SKU021,52,202304,VPD,
Austria,,SKU022,3605,202304,VPD,
Austria,,SKU023,36,202304,VPD,
Austria,,SKU024,1678,202304,VPD,
Austria,,SKU025,18,202304,VPD,
Austria,,SKU026,1200,202304,VPD,
Austria,,SKU027,16,202304,VPD,
Austria,,SKU028,17,202304,VPD,
Austria,,SKU029,2071,202304,VPD,
Austria,,SKU030,22736,202304,VPD,
Austria,,SKU031,307,202304,VPD,
Austria,,SKU032,29546,202304,VPD,
Austria,,SKU033,329,202304,VPD,
Austria,,SKU034,8498,202304,VPD,
Austria,,SKU035,85,202304,VPD,
Austria,,SKU036,14,202304,VPD,
Austria,,SKU037,1417,202304,VPD,
Austria,,SKU038,2053,202304,VPD,
Austria,,SKU039,231,202304,VPD,
Austria,,SKU040,2064,202304,VPD,
Austria,,SKU041,61,202304,VPD,
Austria,,SKU042,27,202304,VPD,
Austria,,SKU043,12,202304,VPD,
Austria,,SKU044,35,202304,VPD,
Austria,,SKU045,479,202304,VPD,
Austria,,SKU046,8,202304,VPD,
Austria,,SKU047,34,202304,VPD,
Austria,,SKU048,26,202304,VPD,
Austria,,SKU049,82,202304,VPD,
Austria,,SKU050,136,202304,VPD,
Austria,,SKU051,277,202304,VPD,
Austria,,SKU052,142,202304,VPD,
Austria,,SKU053,137,202304,VPD,
Austria,,SKU054,3590,202304,VPD,
Austria,,SKU055,4294,202304,VPD,
Austria,,SKU056,2138,202304,VPD,
Austria,,SKU057,214,202304,VPD,
Austria,,SKU058,2767,202304,VPD,
Austria,,SKU059,3705,202304,VPD,
Austria,,SKU060,3711,202304,VPD,
Austria,,SKU061,37,202304,VPD,
Austria,,SKU062,84,202304,VPD,
Austria,,SKU063,642,202304,VPD,
Austria,,SKU064,4,202304,VPD,
Austria,,SKU065,12330,202304,VPD,
Austria,,SKU066,2050,202304,VPD,
Austria,,SKU067,210929,202304,VPD,
Austria,,SKU068,328,202304,VPD,
Austria,,SKU069,260,202304,VPD,
Austria,,SKU070,4277,202304,VPD,
Austria,,SKU071,31519,202304,VPD,
Austria,,SKU072,10024,202304,VPD,
Austria,,SKU073,2350,202304,VPD,
Austria,,SKU074,5663,202304,VPD,
Austria,,SKU075,2367,202304,VPD,
Austria,,SKU076,10811,202304,VPD,
Austria,,SKU077,10846,202304,VPD,
Austria,,SKU078,7224,202304,VPD,
Austria,,SKU079,26576,202304,VPD,
Austria,,SKU080,7106,202304,VPD,
Austria,,SKU081,10514,202304,VPD,
Austria,,SKU082,11144,202304,VPD,
Austria,,SKU083,8253,202304,VPD,
Austria,,SKU084,6252,202304,VPD,
Austria,,SKU085,4,202304,VPD,
Austria,,SKU086,212,202304,VPD,
Austria,,SKU087,452,202304,VPD,
Austria,,SKU088,81,202304,VPD,
Austria,,SKU089,1178,202304,VPD,
Austria,,SKU090,1392,202304,VPD,
Austria,,SKU091,19653,202304,VPD,
Austria,,SKU092,5143,202304,VPD,
Austria,,SKU093,6633,202304,VPD,
Austria,,SKU094,77526,202304,VPD,
Austria,,SKU095,2280,202304,VPD,
Austria,,SKU096,24631,202304,VPD,
Austria,,SKU097,2724,202304,VPD,
Austria,,SKU098,11264,202304,VPD,
Austria,,SKU099,6916,202304,VPD,
Austria,,SKU0100,27395,202304,VPD,
Austria,,SKU0101,28736,202304,VPD,
Austria,,SKU0102,22363,202304,VPD,
Austria,,SKU0103,5575,202304,VPD,
Austria,,SKU0104,1949,202304,VPD,
Austria,,SKU0105,3168,202304,VPD,
Austria,,SKU0106,2972,202304,VPD,
Austria,,SKU0107,1672,202304,VPD,
Austria,,SKU0108,2864,202304,VPD,
Austria,,SKU0109,9490,202304,VPD,
Austria,,SKU0110,7034,202304,VPD,
Austria,,SKU0111,6331,202304,VPD,
Austria,,SKU0112,333,202304,VPD,
Austria,,SKU0113,123,202304,VPD,
Austria,,SKU0114,30,202304,VPD,
Austria,,SKU0115,654,202304,VPD,
Austria,,SKU0116,72,202304,VPD,
Austria,,SKU0117,56,202304,VPD,
Austria,,SKU0118,103,202304,VPD,
Austria,,SKU0119,109,202304,VPD,
Austria,,SKU0120,1016,202304,VPD,
Austria,,SKU0121,590,202304,VPD,
Austria,,SKU0122,1332,202304,VPD,
Austria,,SKU0123,2354,202304,VPD,
Austria,,SKU0124,7461,202304,VPD,
Austria,,SKU0125,11234,202304,VPD,
Austria,,SKU0126,2600,202304,VPD,
Austria,,SKU0127,568,202304,VPD,
Austria,,SKU0128,1202,202304,VPD,
Austria,,SKU0129,1259,202304,VPD,
Austria,,SKU0130,16440,202304,VPD,
Austria,,SKU0131,18593,202304,VPD,
Austria,,SKU0132,5820,202304,VPD,
Austria,,SKU0133,8299,202304,VPD,
Austria,,SKU0134,455,202304,VPD,
Austria,,SKU0135,739,202304,VPD,
Austria,,SKU0136,2656,202304,VPD,
Austria,,SKU0137,4219,202304,VPD,
Austria,,SKU0138,3026,202304,VPD,
Austria,,SKU0139,1646,202304,VPD,
Austria,,SKU0140,24774,202304,VPD,
Austria,,SKU0141,1611,202304,VPD,
Austria,,SKU0142,11927,202304,VPD,
Austria,,SKU0143,10373,202304,VPD,
Austria,,SKU0144,49,202304,VPD,
Austria,,SKU0145,600,202304,VPD,
Austria,,SKU0146,54,202304,VPD,
Austria,,SKU0147,48,202304,VPD,
Austria,,SKU0148,4210,202304,VPD,
Austria,,SKU0149,246,202304,VPD,
Austria,,SKU0150,580,202304,VPD,
Austria,,SKU0151,145,202304,VPD,
Austria,,SKU0152,938,202304,VPD,
Austria,,SKU0153,273,202304,VPD,
Austria,,SKU0154,921,202304,VPD,
Austria,,SKU0155,61,202304,VPD,
Austria,,SKU0156,66,202304,VPD,
Austria,,SKU0157,306,202304,VPD,
Austria,,SKU0158,140,202304,VPD,
Austria,,SKU0159,5507,202304,VPD,
